yaş,meslek,medeni_durum,eğitim,temerrüt,bakiye,konut_kredisi,ihtiyaç_kredisi,iletişim_tipi,gün,ay,arama_süresi_sn,kampanya_arama_sayısı,önceki_görüşmeden_geçen_gün,önceki_aramalar,önceki_kampanya_sonuç,vadeli_mevduat
55,teknisyen,evli,lise,0,1205,1,0,0.0,5,mayıs,158,2,-1,0,bilinmiyor,0
35,vasıfsız işçi,bekar,lise,0,12223,1,1,0.0,5,mayıs,177,1,-1,0,bilinmiyor,0
57,vasıfsız işçi,evli,lise,0,5935,1,1,0.0,5,mayıs,258,1,-1,0,bilinmiyor,0
31,hizmet sektörü,evli,lise,0,25,1,1,0.0,5,mayıs,172,1,-1,0,bilinmiyor,0
54,yönetici,evli,lise,0,282,1,1,0.0,5,mayıs,154,1,-1,0,bilinmiyor,0
55,vasıfsız işçi,evli,ilkokul,0,23,1,0,0.0,5,mayıs,291,1,-1,0,bilinmiyor,0
43,teknisyen,evli,lise,0,1937,1,0,0.0,5,mayıs,181,1,-1,0,bilinmiyor,0
53,teknisyen,evli,lise,0,384,1,0,0.0,5,mayıs,176,1,-1,0,bilinmiyor,0
44,vasıfsız işçi,evli,lise,0,582,0,1,0.0,5,mayıs,211,1,-1,0,bilinmiyor,0
55,hizmet sektörü,boşanmış/ dul,lise,0,91,0,0,0.0,5,mayıs,349,1,-1,0,bilinmiyor,0
49,hizmet sektörü,boşanmış/ dul,lise,0,0,1,1,0.0,5,mayıs,272,1,-1,0,bilinmiyor,0
55,hizmet sektörü,boşanmış/ dul,lise,1,1,1,0,0.0,5,mayıs,208,1,-1,0,bilinmiyor,0
45,büro görevlisi,bekar,lise,0,206,1,0,0.0,5,mayıs,193,1,-1,0,bilinmiyor,0
47,hizmet sektörü,boşanmış/ dul,lise,0,164,0,0,0.0,5,mayıs,212,1,-1,0,bilinmiyor,0
42,teknisyen,bekar,lise,0,690,1,0,0.0,5,mayıs,20,1,-1,0,bilinmiyor,0
59,büro görevlisi,evli,lise,0,2343,1,0,0.0,5,mayıs,1042,1,-1,0,bilinmiyor,1
46,serbest meslek,evli,üniversite,0,137,1,1,0.0,5,mayıs,246,1,-1,0,bilinmiyor,0
51,vasıfsız işçi,evli,ilkokul,0,173,1,0,0.0,5,mayıs,529,2,-1,0,bilinmiyor,0
56,büro görevlisi,evli,lise,0,45,0,0,0.0,5,mayıs,1467,1,-1,0,bilinmiyor,1
41,teknisyen,evli,lise,0,1270,1,0,0.0,5,mayıs,1389,1,-1,0,bilinmiyor,1
46,yönetici,boşanmış/ dul,lise,0,16,1,1,0.0,5,mayıs,188,2,-1,0,bilinmiyor,0
57,emekli,evli,lise,0,486,1,0,0.0,5,mayıs,180,2,-1,0,bilinmiyor,0
42,yönetici,bekar,lise,0,50,0,0,0.0,5,mayıs,48,1,-1,0,bilinmiyor,0
30,teknisyen,evli,lise,0,152,1,1,0.0,5,mayıs,213,2,-1,0,bilinmiyor,0
60,büro görevlisi,evli,lise,0,290,1,0,0.0,5,mayıs,583,1,-1,0,bilinmiyor,0
60,vasıfsız işçi,evli,bilinmiyor,0,54,1,0,0.0,5,mayıs,221,1,-1,0,bilinmiyor,0
57,girişimci,boşanmış/ dul,lise,0,-37,0,0,0.0,5,mayıs,173,1,-1,0,bilinmiyor,0
36,yönetici,evli,üniversite,0,101,1,1,0.0,5,mayıs,426,1,-1,0,bilinmiyor,0
55,vasıfsız işçi,evli,lise,0,383,0,0,0.0,5,mayıs,287,1,-1,0,bilinmiyor,0
60,emekli,evli,üniversite,0,81,1,0,0.0,5,mayıs,101,1,-1,0,bilinmiyor,0
39,teknisyen,evli,lise,0,0,1,0,0.0,5,mayıs,203,1,-1,0,bilinmiyor,0
46,yönetici,evli,üniversite,0,229,1,0,0.0,5,mayıs,197,1,-1,0,bilinmiyor,0
44,vasıfsız işçi,evli,lise,0,-674,1,0,0.0,5,mayıs,257,1,-1,0,bilinmiyor,0
53,vasıfsız işçi,evli,ilkokul,0,90,0,0,0.0,5,mayıs,124,1,-1,0,bilinmiyor,0
52,vasıfsız işçi,evli,ilkokul,0,128,1,0,0.0,5,mayıs,229,1,-1,0,bilinmiyor,0
59,vasıfsız işçi,evli,ilkokul,0,179,1,0,0.0,5,mayıs,55,3,-1,0,bilinmiyor,0
27,teknisyen,bekar,üniversite,0,0,1,0,0.0,5,mayıs,400,1,-1,0,bilinmiyor,0
44,vasıfsız işçi,evli,lise,0,54,1,0,0.0,5,mayıs,197,1,-1,0,bilinmiyor,0
47,teknisyen,evli,üniversite,0,151,1,0,0.0,5,mayıs,190,1,-1,0,bilinmiyor,0
34,büro görevlisi,evli,lise,0,61,0,1,0.0,5,mayıs,21,1,-1,0,bilinmiyor,0
59,emekli,bekar,lise,0,30,1,0,0.0,5,mayıs,514,1,-1,0,bilinmiyor,0
45,yönetici,evli,üniversite,0,523,1,0,0.0,5,mayıs,849,2,-1,0,bilinmiyor,0
29,hizmet sektörü,boşanmış/ dul,lise,0,31,1,0,0.0,5,mayıs,194,1,-1,0,bilinmiyor,0
46,teknisyen,boşanmış/ dul,lise,0,79,0,0,0.0,5,mayıs,144,1,-1,0,bilinmiyor,0
56,serbest meslek,evli,ilkokul,0,-34,1,1,0.0,5,mayıs,212,2,-1,0,bilinmiyor,0
36,vasıfsız işçi,evli,ilkokul,0,448,1,0,0.0,5,mayıs,286,1,-1,0,bilinmiyor,0
59,emekli,boşanmış/ dul,ilkokul,0,81,1,0,0.0,5,mayıs,107,1,-1,0,bilinmiyor,0
44,vasıfsız işçi,evli,lise,0,144,1,0,0.0,5,mayıs,247,2,-1,0,bilinmiyor,0
41,büro görevlisi,evli,lise,0,351,1,0,0.0,5,mayıs,518,1,-1,0,bilinmiyor,0
33,yönetici,bekar,üniversite,0,-67,1,0,0.0,5,mayıs,364,1,-1,0,bilinmiyor,0
59,yönetici,boşanmış/ dul,üniversite,0,262,0,0,0.0,5,mayıs,178,1,-1,0,bilinmiyor,0
57,teknisyen,evli,ilkokul,0,0,0,0,0.0,5,mayıs,98,1,-1,0,bilinmiyor,0
56,teknisyen,boşanmış/ dul,bilinmiyor,0,56,1,0,0.0,5,mayıs,439,1,-1,0,bilinmiyor,0
51,vasıfsız işçi,evli,lise,0,26,1,0,0.0,5,mayıs,79,1,-1,0,bilinmiyor,0
34,büro görevlisi,evli,bilinmiyor,0,3,1,0,0.0,5,mayıs,120,3,-1,0,bilinmiyor,0
43,hizmet sektörü,evli,lise,0,41,1,1,0.0,5,mayıs,127,2,-1,0,bilinmiyor,0
52,teknisyen,evli,üniversite,0,7,0,1,0.0,5,mayıs,175,1,-1,0,bilinmiyor,0
33,teknisyen,bekar,lise,0,105,1,0,0.0,5,mayıs,262,2,-1,0,bilinmiyor,0
29,büro görevlisi,bekar,lise,0,818,1,1,0.0,5,mayıs,61,1,-1,0,bilinmiyor,0
34,hizmet sektörü,evli,lise,0,-16,1,1,0.0,5,mayıs,78,1,-1,0,bilinmiyor,0
31,vasıfsız işçi,evli,lise,0,0,1,0,0.0,5,mayıs,143,1,-1,0,bilinmiyor,0
55,hizmet sektörü,evli,lise,0,2476,1,0,0.0,5,mayıs,579,1,-1,0,bilinmiyor,1
55,yönetici,evli,bilinmiyor,0,1185,0,0,0.0,5,mayıs,677,1,-1,0,bilinmiyor,0
32,büro görevlisi,bekar,lise,0,217,1,0,0.0,5,mayıs,345,1,-1,0,bilinmiyor,0
38,teknisyen,bekar,lise,0,1685,1,0,0.0,5,mayıs,185,1,-1,0,bilinmiyor,0
55,büro görevlisi,bekar,lise,0,802,1,1,0.0,5,mayıs,100,2,-1,0,bilinmiyor,0
28,işsiz,bekar,üniversite,0,0,1,0,0.0,5,mayıs,125,2,-1,0,bilinmiyor,0
23,vasıfsız işçi,evli,lise,0,94,1,0,0.0,5,mayıs,193,1,-1,0,bilinmiyor,0
32,teknisyen,bekar,lise,0,0,1,0,0.0,5,mayıs,136,1,-1,0,bilinmiyor,0
43,hizmet sektörü,bekar,bilinmiyor,0,0,0,0,0.0,5,mayıs,73,1,-1,0,bilinmiyor,0
32,vasıfsız işçi,evli,lise,0,517,1,0,0.0,5,mayıs,528,1,-1,0,bilinmiyor,0
46,vasıfsız işçi,evli,lise,0,265,1,0,0.0,5,mayıs,541,1,-1,0,bilinmiyor,0
53,temizlikçi,boşanmış/ dul,ilkokul,0,947,1,0,0.0,5,mayıs,163,1,-1,0,bilinmiyor,0
34,serbest meslek,bekar,lise,0,3,1,0,0.0,5,mayıs,301,1,-1,0,bilinmiyor,0
57,işsiz,evli,üniversite,0,42,0,0,0.0,5,mayıs,46,1,-1,0,bilinmiyor,0
37,vasıfsız işçi,evli,lise,0,37,1,0,0.0,5,mayıs,204,1,-1,0,bilinmiyor,0
59,vasıfsız işçi,evli,lise,0,57,1,0,0.0,5,mayıs,98,1,-1,0,bilinmiyor,0
33,hizmet sektörü,evli,lise,0,22,1,0,0.0,5,mayıs,71,1,-1,0,bilinmiyor,0
56,vasıfsız işçi,boşanmış/ dul,ilkokul,0,8,1,0,0.0,5,mayıs,157,2,-1,0,bilinmiyor,0
48,işsiz,evli,lise,0,293,1,0,0.0,5,mayıs,243,1,-1,0,bilinmiyor,0
43,hizmet sektörü,evli,ilkokul,0,3,1,0,0.0,5,mayıs,186,2,-1,0,bilinmiyor,0
54,vasıfsız işçi,evli,ilkokul,0,348,1,0,0.0,5,mayıs,579,2,-1,0,bilinmiyor,0
51,vasıfsız işçi,evli,bilinmiyor,0,-19,1,0,0.0,5,mayıs,163,2,-1,0,bilinmiyor,0
26,öğrenci,bekar,lise,0,0,1,0,0.0,5,mayıs,610,2,-1,0,bilinmiyor,0
40,yönetici,evli,üniversite,0,-4,1,0,0.0,5,mayıs,2033,1,-1,0,bilinmiyor,0
39,yönetici,evli,lise,0,18,1,0,0.0,5,mayıs,85,1,-1,0,bilinmiyor,0
50,teknisyen,evli,ilkokul,0,139,0,0,0.0,5,mayıs,114,2,-1,0,bilinmiyor,0
41,hizmet sektörü,evli,lise,0,0,1,0,0.0,5,mayıs,114,2,-1,0,bilinmiyor,0
51,vasıfsız işçi,evli,bilinmiyor,0,1883,1,0,0.0,5,mayıs,57,1,-1,0,bilinmiyor,0
60,emekli,boşanmış/ dul,lise,0,216,1,0,0.0,5,mayıs,238,1,-1,0,bilinmiyor,0
52,vasıfsız işçi,evli,lise,0,782,1,0,0.0,5,mayıs,93,3,-1,0,bilinmiyor,0
48,vasıfsız işçi,evli,lise,0,904,1,0,0.0,5,mayıs,128,2,-1,0,bilinmiyor,0
48,hizmet sektörü,evli,bilinmiyor,0,1705,1,0,0.0,5,mayıs,107,1,-1,0,bilinmiyor,0
39,teknisyen,bekar,üniversite,0,47,1,0,0.0,5,mayıs,181,1,-1,0,bilinmiyor,0
47,hizmet sektörü,bekar,lise,0,176,1,0,0.0,5,mayıs,303,2,-1,0,bilinmiyor,0
40,vasıfsız işçi,evli,lise,0,1225,1,0,0.0,5,mayıs,558,5,-1,0,bilinmiyor,0
45,teknisyen,evli,lise,0,86,1,0,0.0,5,mayıs,270,1,-1,0,bilinmiyor,0
26,büro görevlisi,bekar,lise,0,82,1,0,0.0,5,mayıs,228,1,-1,0,bilinmiyor,0
52,yönetici,evli,üniversite,0,271,1,0,0.0,5,mayıs,99,1,-1,0,bilinmiyor,0
54,teknisyen,evli,lise,0,1378,1,0,0.0,5,mayıs,240,1,-1,0,bilinmiyor,0
54,büro görevlisi,evli,üniversite,0,184,0,0,0.0,5,mayıs,673,2,-1,0,bilinmiyor,1
50,vasıfsız işçi,evli,ilkokul,0,0,0,0,0.0,5,mayıs,233,3,-1,0,bilinmiyor,0
35,vasıfsız işçi,evli,lise,0,0,1,0,0.0,5,mayıs,1056,1,-1,0,bilinmiyor,0
44,hizmet sektörü,evli,lise,0,1357,1,1,0.0,5,mayıs,250,1,-1,0,bilinmiyor,0
53,girişimci,evli,bilinmiyor,0,19,1,0,0.0,5,mayıs,252,1,-1,0,bilinmiyor,0
35,emekli,bekar,ilkokul,0,434,0,0,0.0,5,mayıs,138,1,-1,0,bilinmiyor,0
60,büro görevlisi,boşanmış/ dul,lise,0,92,1,0,0.0,5,mayıs,130,1,-1,0,bilinmiyor,0
53,büro görevlisi,boşanmış/ dul,lise,0,1151,1,0,0.0,5,mayıs,412,1,-1,0,bilinmiyor,0
48,işsiz,evli,lise,0,41,1,0,0.0,5,mayıs,179,2,-1,0,bilinmiyor,0
34,teknisyen,evli,lise,0,51,1,0,0.0,5,mayıs,19,2,-1,0,bilinmiyor,0
54,hizmet sektörü,evli,lise,0,214,1,0,0.0,5,mayıs,458,2,-1,0,bilinmiyor,0
51,yönetici,evli,lise,0,1161,1,0,0.0,5,mayıs,717,1,-1,0,bilinmiyor,0
31,hizmet sektörü,evli,üniversite,0,37,1,0,0.0,5,mayıs,313,1,-1,0,bilinmiyor,0
35,teknisyen,boşanmış/ dul,lise,0,787,1,0,0.0,5,mayıs,683,2,-1,0,bilinmiyor,0
35,hizmet sektörü,evli,lise,0,59,1,0,0.0,5,mayıs,1077,1,-1,0,bilinmiyor,0
38,teknisyen,evli,lise,0,253,1,0,0.0,5,mayıs,416,1,-1,0,bilinmiyor,0
36,büro görevlisi,evli,üniversite,0,211,1,0,0.0,5,mayıs,146,2,-1,0,bilinmiyor,0
58,emekli,evli,ilkokul,0,235,1,0,0.0,5,mayıs,167,1,-1,0,bilinmiyor,0
40,hizmet sektörü,boşanmış/ dul,bilinmiyor,0,4384,1,0,0.0,5,mayıs,315,1,-1,0,bilinmiyor,0
54,yönetici,evli,lise,0,4080,0,0,0.0,5,mayıs,140,1,-1,0,bilinmiyor,0
34,vasıfsız işçi,bekar,lise,0,53,1,1,0.0,5,mayıs,346,1,-1,0,bilinmiyor,0
31,yönetici,bekar,üniversite,0,0,1,0,0.0,5,mayıs,562,1,-1,0,bilinmiyor,0
51,emekli,evli,lise,0,2127,1,0,0.0,5,mayıs,172,1,-1,0,bilinmiyor,0
33,yönetici,evli,üniversite,0,377,1,0,0.0,5,mayıs,217,1,-1,0,bilinmiyor,0
55,yönetici,evli,üniversite,0,73,1,0,0.0,5,mayıs,142,2,-1,0,bilinmiyor,0
42,büro görevlisi,evli,lise,0,445,1,0,0.0,5,mayıs,67,1,-1,0,bilinmiyor,0
34,vasıfsız işçi,evli,lise,0,243,1,0,0.0,5,mayıs,291,1,-1,0,bilinmiyor,0
33,vasıfsız işçi,bekar,lise,0,307,1,0,0.0,5,mayıs,309,2,-1,0,bilinmiyor,0
38,hizmet sektörü,evli,lise,0,155,1,0,0.0,5,mayıs,248,1,-1,0,bilinmiyor,0
50,teknisyen,boşanmış/ dul,üniversite,0,173,0,1,0.0,5,mayıs,98,1,-1,0,bilinmiyor,0
43,yönetici,evli,üniversite,0,400,1,0,0.0,5,mayıs,256,1,-1,0,bilinmiyor,0
61,vasıfsız işçi,boşanmış/ dul,ilkokul,0,1428,1,0,0.0,5,mayıs,82,2,-1,0,bilinmiyor,0
47,büro görevlisi,evli,lise,0,219,1,0,0.0,5,mayıs,577,1,-1,0,bilinmiyor,0
48,serbest meslek,evli,üniversite,0,7,1,0,0.0,5,mayıs,286,1,-1,0,bilinmiyor,0
44,vasıfsız işçi,evli,lise,0,575,1,0,0.0,5,mayıs,477,1,-1,0,bilinmiyor,0
35,öğrenci,bekar,bilinmiyor,0,298,1,0,0.0,5,mayıs,611,2,-1,0,bilinmiyor,0
35,hizmet sektörü,evli,lise,0,0,1,0,0.0,5,mayıs,471,1,-1,0,bilinmiyor,0
50,hizmet sektörü,evli,lise,0,5699,1,0,0.0,5,mayıs,381,2,-1,0,bilinmiyor,0
41,yönetici,evli,üniversite,0,176,1,1,0.0,5,mayıs,42,1,-1,0,bilinmiyor,0
41,yönetici,evli,üniversite,0,517,1,0,0.0,5,mayıs,251,1,-1,0,bilinmiyor,0
39,hizmet sektörü,bekar,bilinmiyor,0,257,1,0,0.0,5,mayıs,408,1,-1,0,bilinmiyor,0
42,emekli,evli,lise,0,56,1,0,0.0,5,mayıs,215,1,-1,0,bilinmiyor,0
38,vasıfsız işçi,evli,lise,0,-390,1,0,0.0,5,mayıs,287,1,-1,0,bilinmiyor,0
53,emekli,evli,lise,0,330,1,0,0.0,5,mayıs,216,2,-1,0,bilinmiyor,0
59,temizlikçi,boşanmış/ dul,ilkokul,0,195,0,0,0.0,5,mayıs,366,2,-1,0,bilinmiyor,0
36,hizmet sektörü,evli,lise,0,301,1,0,0.0,5,mayıs,210,1,-1,0,bilinmiyor,0
54,vasıfsız işçi,evli,ilkokul,0,-41,1,0,0.0,5,mayıs,288,1,-1,0,bilinmiyor,0
40,teknisyen,evli,üniversite,0,483,1,0,0.0,5,mayıs,168,1,-1,0,bilinmiyor,0
47,bilinmiyor,evli,bilinmiyor,0,28,0,0,0.0,5,mayıs,338,2,-1,0,bilinmiyor,0
53,işsiz,evli,bilinmiyor,0,13,0,0,0.0,5,mayıs,410,3,-1,0,bilinmiyor,0
46,temizlikçi,evli,ilkokul,0,965,0,0,0.0,5,mayıs,177,1,-1,0,bilinmiyor,0
39,yönetici,evli,üniversite,0,378,1,1,0.0,5,mayıs,127,2,-1,0,bilinmiyor,0
40,işsiz,evli,lise,0,219,1,0,0.0,5,mayıs,357,1,-1,0,bilinmiyor,0
28,vasıfsız işçi,evli,ilkokul,0,324,1,0,0.0,5,mayıs,175,1,-1,0,bilinmiyor,0
35,girişimci,boşanmış/ dul,lise,0,-69,1,0,0.0,5,mayıs,300,1,-1,0,bilinmiyor,0
55,emekli,evli,lise,0,0,0,1,0.0,5,mayıs,136,1,-1,0,bilinmiyor,0
43,teknisyen,boşanmış/ dul,bilinmiyor,0,205,1,0,0.0,5,mayıs,1419,1,-1,0,bilinmiyor,0
48,vasıfsız işçi,evli,ilkokul,0,278,1,0,0.0,5,mayıs,125,2,-1,0,bilinmiyor,0
58,yönetici,evli,bilinmiyor,0,1065,1,0,0.0,5,mayıs,213,3,-1,0,bilinmiyor,0
33,yönetici,bekar,üniversite,0,34,1,0,0.0,5,mayıs,27,1,-1,0,bilinmiyor,0
36,vasıfsız işçi,evli,bilinmiyor,0,1033,0,0,0.0,5,mayıs,238,2,-1,0,bilinmiyor,0
53,hizmet sektörü,boşanmış/ dul,lise,0,1467,1,0,0.0,5,mayıs,124,1,-1,0,bilinmiyor,0
47,vasıfsız işçi,evli,ilkokul,0,-12,1,0,0.0,5,mayıs,18,1,-1,0,bilinmiyor,0
31,hizmet sektörü,evli,lise,0,388,1,0,0.0,5,mayıs,730,2,-1,0,bilinmiyor,0
57,girişimci,evli,lise,0,294,1,0,0.0,5,mayıs,746,2,-1,0,bilinmiyor,0
53,vasıfsız işçi,evli,bilinmiyor,0,1827,0,0,0.0,5,mayıs,121,1,-1,0,bilinmiyor,0
55,vasıfsız işçi,evli,ilkokul,0,627,1,0,0.0,5,mayıs,247,1,-1,0,bilinmiyor,0
45,vasıfsız işçi,evli,ilkokul,0,25,1,0,0.0,5,mayıs,40,1,-1,0,bilinmiyor,0
53,büro görevlisi,boşanmış/ dul,lise,0,315,1,0,0.0,5,mayıs,181,2,-1,0,bilinmiyor,0
37,vasıfsız işçi,evli,ilkokul,0,0,1,0,0.0,5,mayıs,79,1,-1,0,bilinmiyor,0
44,büro görevlisi,boşanmış/ dul,lise,0,66,1,0,0.0,5,mayıs,206,1,-1,0,bilinmiyor,0
49,vasıfsız işçi,boşanmış/ dul,ilkokul,0,-9,1,1,0.0,5,mayıs,389,1,-1,0,bilinmiyor,0
46,teknisyen,evli,lise,0,349,1,1,0.0,5,mayıs,127,1,-1,0,bilinmiyor,0
43,girişimci,evli,bilinmiyor,0,100,1,0,0.0,5,mayıs,702,1,-1,0,bilinmiyor,0
38,büro görevlisi,evli,lise,0,0,0,0,0.0,5,mayıs,151,1,-1,0,bilinmiyor,0
43,teknisyen,evli,lise,0,434,1,0,0.0,5,mayıs,117,1,-1,0,bilinmiyor,0
